English,Spanish,HC,German,French,Arabic,Korean,Russian
abandon,abandonar,abandone,aufgeben,abandonner,yatakhalaa ean,beolida,pokidat'
ability,capacidad,kapasite,Fähigkeit,capacité,qudra,neunglyeog,sposobnost'
able,capaz,kapab,fähig,capable,qadir,hal su issneun,sposobnyy
abortion,aborto,avòtman,Abtreibung,avortement,iijhad,nagtae,abort
about,acerca de,sou,um,à propos,ean,~e daehan,o
above,arriba,pi wo a,über,au-dessus de,fawq,~ wie,vyshe
abroad,en el extranjero,aletranje,im Ausland,à l'étranger,fi alkharij,haeoeeseo,za granitsey
absence,ausencia,absans,Abwesenheit,absence,ghiab,gyeolseog,otsutstviye
absolute,absoluto,absoli,absolut,absolu,mutlaq,sunsuhan,absolyutnyy
absolutely,absolutamente,absoliman,absolut,absolument,qteaan,jeonjeog-eulo,absolyutno
absorb,absorber,absòbe,absorbieren,absorber,tamtasu,heubsuhada,pogloshchat'
abuse,abuso,abi,Missbrauch,abus,iisa'a,nam-yong,zloupotreblyat'
academic,académico,akademik,akademisch,académique,akadimi,hagsaeng,akademicheskiy
accept,aceptar,aksepte,akzeptieren,accepter,yaqbal,suyonghada,prinimat'
access,acceso,aksè,Zugang,accéder,wusul,ibjang,dostup
accident,accidente,aksidan,Unfall,accident,haditha,sago,neschastnyy sluchay
accompany,acompañar,akonpanye,begleiten,accompagner,murafaqa,dongbanhada,soprovozhdat'
accomplish,lograr,akonpli,erreichen,accomplir,yunjaz,seongchwihada,vypolnit'
according,de acuerdo a,dapre,nach,selon,hasab,~e ttala,soglasno
account,cuenta,kont,Konto,compte,hisab,gyejeong,schet
accurate,preciso,egzat,genau,précis,daqiq,jeonghwaghan,tochnyy
accuse,acusar,akize,beschuldigen,accuser,aituhim,gobalhada,obvinyat'
achieve,lograr,reyalize,erreichen,atteindre,yuhaqaq,seongchwihada,dostigat'
achievement,logro,reyalizasyon,Leistung,réalisation,iinjaz,seongchwi,dostizheniye
acid,ácido,asid,Säure,acide,hamid,san,kislota
acknowledge,reconocer,rekonèt,anerkennen,reconnaître,yuqr,injeonghada,soznavat'
acquire,adquirir,jwenn,erwerben,acquérir,yaktasib,seubdeughada,priobretat'
across,al otro lado de,atravè,über,à travers,eyr,galojilleo,cherez
act,acto,aji,Akt,acte,yamthul,haengdong,deystvovat'
action,acción,aksyon,Aktion,action,faeal,haengdong,deystviye
active,activo,aktif,aktiv,actif,nashit,hwaldongjeog-in,aktivnyy
activist,activista,aktivis,Aktivist,activiste,nashit,hwaldong-ga,aktivist
activity,actividad,aktivite,Aktivität,activité,nashat,hwaldong,aktivnost'
actor,actor,aktè,Schauspieler,acteur,almumathil,baeu,akter
actress,Actriz,aktris,Darstellerin,actrice,mumathila,yeobaeu,aktrisa
actual,actual,aktyèl,tatsächlich,réel,fiely,silje,deystvitel'nyy
actually,de hecho,aktyèlman,Genau genommen,en fait,fi alhaqiqa,siljelo,na samom dele
ad,anuncio,ad,Anzeige,annonce,iielan,giwon hu,"ob""yavleniye"
adapt,adaptar,adapte,anpassen,adapter,yatakayaf,jeog-eunghada,adaptirovat'sya
add,agregar,ajoute,hinzufügen,ajouter,yudif,chugahada,dobavlyat'
addition,suma,adisyon,Zusatz,ajout,iidafatan,deos-sem,dobavleniye
additional,adicional,adisyonèl,zusätzlich,supplémentaire,iidafiun,chugaui,dopolnitel'nyy
address,Direccion,adrès,Adresse,adresse,eunwan,juso,adres
adequate,adecuado,adekwat,angemessen,adéquat,munasib,jeogjeolhan,adekvatnyy
adjust,ajustar,ajiste,anpassen,ajuster,yueddil,jojeonghada,regulirovat'
adjustment,ajustamiento,ajisteman,Einstellung,ajustement,taedil,jojeong,korrektirovaniye
administration,administración,administrasyon,Verwaltung,administration,iidara,gwanli,administratsiya
administrator,administrador,administratè,Administrator,administrateur,mudir,gwanlija,administrator
admire,admirar,admire,bewundern,admirer,yuejab b,jongyeonghada,voskhishchat'sya
admission,admisión,admisyon,Zulassung,admission,qabul,gaib,dopusk
admit,admitir,admèt,zugeben,admettre,yaetarif,injeonghada,priznavat'
adolescent,adolescente,adolesan,Jugendlicher,adolescent,murahiq,hanchang jeolm-eun,podrostok
adopt,adoptar,adopte,adoptieren,adopter,yatabanaa,ib-yanghada,usynovit'
adult,adulto,granmoun,Erwachsene,adulte,baligh,seong-in,vzroslyy
advance,avance,avanse,Vorauszahlung,avance,yataqadam,jeonjin,prodvigat'
advanced,avanzado,avanse,fortschrittlich,avancé,mutaqadim,gogeub-ui,peredovoy
advantage,ventaja,avantaj,Vorteil,avantage,miza,ijeom,preimushchestvo
adventure,aventura,avanti,Abenteuer,aventure,mufamara,moheom,priklyucheniye
advertising,publicidad,piblisite,Werbung,publicité,dieaya,gwang-gohaneun,reklama
advice,consejo,konsèy,Beratung,conseil,nasiha,jo-eon,sovet
advise,aconsejar,konseye,beraten,conseiller,yunsah,gwonhada,sovetovat'
adviser,asesor,konseye,Berater,conseiller,mustashar,gomun,sovetnik
advocate,defensor,avoka,Fürsprecher,avocat,yudafie ean,jijihada,zashchitnik
affair,amorío,zafè,Affäre,affaire,shan,il,roman
affect,afectar,afekte,beeinflussen,affecter,yuathir,yeonghyang-eul michida,okazyvat' vozdeystviye
afford,poder pagar,peye,leisten,permettre,yamnah,yeoyuga doeda,predostavlyat'
afraid,asustado,pè,besorgt,effrayé,khayif,dulyeowohaneun,ispugannyy
African,africano,Afriken,afrikanisch,africain,al'afriqiu,apeulika salam,Afrikanskiy
African-American,Afroamericano,Afriken-Ameriken,Afroamerikaner,Afro-américain,alafariquh alamirikan,apeulika gye migug-in,Afroamerikanets
after,después,apre,nach,après,baed,~ hue,posle
afternoon,tarde,apremidi,Nachmittag,après-midi,baed alzuhr,ohu,polden'
again,de nuevo,ankò,wieder,encore,maratan 'ukhraa,dasi,snova
against,contra,kont,gegen,contre,dida,~e majseo,protiv
age,edad,laj,Alter,âge,eumar,nai,vozrast
agency,agencia,ajans,Agentur,agence,wikala,daehaengsa,agentstvo
agenda,agenda,ajanda,Agenda,ordre du jour,jadwal 'aemal,uije,povestka dnya
agent,agente,ajan,Agent,agent,eamil,daeliin,agent
aggressive,agresivo,agresif,aggressiv,agressif,eanif,gong-gyeogjeog-in,agressivnyy
ago,atrás,de sa,vor,il y a,mundh,~ jeon-e,nazad
agree,aceptar,dakò,zustimmen,accepter,yuafiq,dong-uihada,soglashat'sya
agreement,acuerdo,akò,Vereinbarung,accord,aitifaq,hab-ui,soglasheniye
agricultural,agrícola,agrikòl,landwirtschaftlich,agricole,alziraeia,nong-eob,sel'skokhozyaystvennyy
ah,ah,ah,Ah,ah,ah,a,akh
ahead,adelante,devan,voraus,devant,amam,ap-eulo,predstoyashchiy
aid,ayuda,èd,Hilfe,aide,yusaeid,jiwon,pomogat'
aide,ayudante,èd,Berater,aide,musaeid,bojwagwan,pomoshchnik
AIDS,SIDA,SIDA,AIDS,sida,al'iidz,bojogigu,SPID
aim,apuntar,vize,Ziel,but,hadaf,mogpyo,tsel'
air,aire,lè,Luft,air,hawa',gong-gi,vozdukh
aircraft,aeronave,avyon,Flugzeug,avion,altaayirat,hang-gong-gi,samolet
airline,aerolínea,avyon,Fluggesellschaft,Compagnie aérienne,sharikat tayaran,gong-gi hoseu,aviakompaniya
airport,aeropuerto,ayewopò,Flughafen,aéroport,matar,gonghang,aeroport
album,álbum,album,Album,album,al'album,aelbeom,al'bom
alcohol,alcohol,alkòl,Alkohol,alcool,alkuhul,sul,alkogol'
alive,vivo,vivan,lebendig,vivant,ealaa qayd alhayaa,sal-a issneun,zhivoy
all,todo,tout,alle,tous,aljamie,modu,vse
alliance,Alianza,alyans,Allianz,Alliance,tahaluf,dongmaeng,al'yans
allow,permitir,pèmèt,erlauben,permettre,yasmah,heoyonghada,pozvolyat'
ally,aliado,alye,Verbündete,allié,halif,dongmaeng-gug,soyuznik
almost,casi,prèske,fast,presque,bialkad,geoui,pochti
alone,solo,pou kont li,allein,seul,wahid,hollo,odin
along,a lo largo de,ansanm,entlang,le long de,ealaa aimtidad,~eul ttala,vdol'
already,ya,deja,bereits,déjà,bialfiel,imi,uzhe
also,también,tou,Auch,aussi,aydan,ttohan,takzhe
alter,alterar,chanje,ändern,modifier,taghyir,bakkuda,izmenit'
alternative,alternativa,altènatif,Alternative,alternative,badil,daean,al'ternativa
although,a pesar de,byenke,Obwohl,bien que,bialraghm min,hajiman,khotya
always,siempre,toujou,stets,toujours,daymaan,eonjena,vsegda
AM,SOY,AM,BIN,SUIS,akun,ojeon,YAVLYAYUS'
amazing,asombroso,etonan,toll,incroyable,mudhish,nollaun,udivitel'nyy
American,Americano,Ameriken,amerikanisch,Américain,amrikiun,migug salam,Amerikanskiy
among,entre,nan mitan,unter,parmi,dimn,~ jung-e,sredi
amount,cantidad,kantite lajan,Menge,montant,kamiya,yang,kolichestvo
analysis,análisis,analiz,Analyse,analyse,tahlil,bunseog,analiz
analyst,analista,analis,Analytiker,analyste,almuhalil,bunseogja,analitik
analyze,analizar,analize,analysieren,analyser,tahlil,bunseoghada,analizirovat'
ancient,antiguo,ansyen,uralt,ancien,eatiq,godaeui,drevniy
and,y,epi,Und,et,w,geuligo,i
anger,enojo,kòlè,Wut,colère,alghadab,hwa,zlost'
angle,ángulo,ang,Winkel,angle,zawia,gagdo,ugol
angry,enojado,fache,wütend,en colère,ghadib,hwanan,zloy
animal,animal,bèt,Tier,animal,hayawan,dongmul,zhivotnoye
anniversary,aniversario,anivèsè,Jubiläum,anniversaire,eid,ginyeom-il,godovshchina
announce,anunciar,anonse,bekannt geben,annoncer,uelin,balpyohada,"ob""yavit'"
annual,anual,anyèl,jährlich,annuel,sanawiun,yeongan,yezhegodnyy
another,otro,yon lòt,ein anderer,un autre,akhar,tto daleun,drugoy
answer,respuesta,reponn,Antwort,répondre,iijaba,dabbyeon,otvechat'
anticipate,anticipar,antisipe,antizipieren,anticiper,yutawaqae,yesanghada,predvidet'
anxiety,ansiedad,enkyetid,Angst,anxiété,qalaq,bul-an,bespokoystvo
any,cualquier,nenpòt,beliebig,n'importe lequel,ay,eoneu,lyuboy
anybody,cualquiera,okenn moun,irgendjemand,n'importe qui,ay shakhs,amudo,kto-nibud'
anymore,ya no,ankò,mehr,plus,ayi 'akthar min dhalik,deo isang,bol'she
anyone,alguien,nenpòt moun,irgendjemand,n'importe qui,ayu wahid,nuguna,lyuboy
anything,cualquier cosa,anyen,irgendetwas,rien,ayu shi,amugeos,chto-libo
anyway,de todos modos,de tout fason,Trotzdem,de toute façon,ealaa 'ayi hal,geulaedo,v lyubom sluchaye
anywhere,en cualquier lugar,nenpòt kote,überall,n'importe où,fi 'aa makan,eodinga-e,v lyubom meste
apart,aparte,apa,auseinander,à part,munfasil,ttalo,otdel'no
apartment,departamento,apatman,Wohnung,appartement,shaqa,apateu,kvartira
apparent,aparente,aparan,ersichtlich,apparent,wadih,myeongbaeghan,ochevidnyy
apparently,aparentemente,aparamman,scheinbar,apparemment,fima yabdu,bogie,vidimo
appeal,apelar,apèl,appellieren,appel,jadhibia,hangso,obrashchat'sya
appear,aparecer,parèt,erscheinen,apparaître,yazhar,natanada,poyavlyat'sya
appearance,apariencia,aparans,Aussehen,apparence,mazhar,moseub,poyavleniye
apple,manzana,pòm,Apfel,pomme,tufaahatan,sagwa,yabloko
application,solicitud,aplikasyon,Anwendung,application,talab,aepeullikeisyeon,prilozheniye
apply,aplicar,aplike,anwenden,appliquer,yataqadam,jeog-yonghada,primenyat'
appoint,nombrar,nonmen,ernennen,nommer,taeyin,jeonghada,naznachat'
appointment,cita,randevou,Termin,rendez-vous,miead,yagsog,vstrecha
appreciate,agradecer,apresye,anerkennen,apprécier,yuqaddir,gomawohada,tsenit'
approach,acercarse,apwòch,Ansatz,approche,yaqtarib,jeobgeunhada,podkhod
appropriate,adecuado,apwopriye,geeignet,approprié,mulayim,jeogjeolhan,sootvetstvuyushchiy
approval,aprobación,apwouve,Genehmigung,approbation,muafaqa,seung-in,odobreniye
approve,aprobar,apwouve,genehmigen,approuver,yaetamid,seung-inhada,utverdit'
approximately,aproximadamente,apeprè,etwa,environ,tqryban,yag,primerno
Arab,árabe,Arab,Araber,arabe,earab,alabia salam,arab
architect,arquitecto,achitèk,Architekt,architecte,muhandis miemariun,geonchugga,arkhitektor
area,área,zòn,Bereich,zone,mintiqa,yeong-yeog,oblast'
argue,argumentar,diskite,argumentieren,argumenter,yujadil,datuda,sporit'
argument,argumento,agiman,Streit,argument,daewaa,nonjaeng,argument
arise,surgir,leve,entstehen,surgir,tansha,saeng-gida,voznikat'
arm,brazo,bra,Arm,bras,dhirae,pal,ruka
armed,armado,ame,bewaffnet,armé,musalah,mujanghan,vooruzhennyy
army,ejército,lame,Armee,armée,jaysh,gundae,armiya
around,alrededor,alantou,um,autour,hawl,yag,vokrug
arrange,arreglar,ranje,arrangieren,organiser,yuratab,malyeonhada,dogovarivat'sya
arrangement,acuerdo,aranjman,Anordnung,arrangement,tartib,junbi,dogovorennost'
arrest,arrestar,arete,Festnahme,arrêter,yuqbad ealaa,chepo,arestovat'
arrival,llegada,arive,Ankunft,arrivée,wusul,dochag,pribytiye
arrive,llegar,rive,ankommen,arriver,yasil,dochaghada,priyezzhat'
art,arte,atizay,Kunst,art,fann,misul,iskusstvo
article,artículo,atik,Artikel,article,shart,gisa,stat'ya
artist,artista,atis,Künstler,artiste,fanaan,atiseuteu,khudozhnik
artistic,artístico,atistik,künstlerisch,artistique,faniy,yesuljeog,khudozhestvennyy
as,como,kòm,als,comme,mithl,~cheoleom,kak
Asian,asiático,Azyatik,asiatisch,asiatique,alasiawya,asia salam,Aziatskiy
aside,aparte,sou kote,beiseite,de côté,janiban,gyeot-e,v storone
ask,preguntar,mande,fragen,demander,bisal,mudda,prosit'
asleep,dormido,dòmi,schlafend,endormi,nayiman,jug-eo,spyashchiy
aspect,aspecto,aspè,Aspekt,aspect,wajah,cheugmyeon,aspekt
