English,Spanish,HC,German,French,Arabic,Korean,Russian
abandon,abandonar,abandone,aufgeben,abandonner,يتخلى عن,버리다,покидать
ability,capacidad,kapasite,Fähigkeit,capacité,قدرة,능력,способность
able,capaz,kapab,fähig,capable,قادر,할 수 있는,способный
abortion,aborto,avòtman,Abtreibung,avortement,إجهاض,낙태,аборт
about,acerca de,sou,um,à propos,عن,~에 대한,о
above,arriba,pi wo a,über,au-dessus de,فوق,~ 위에,выше
abroad,en el extranjero,aletranje,im Ausland,à l'étranger,في الخارج,해외에서,за границей
absence,ausencia,absans,Abwesenheit,absence,غياب,결석,отсутствие
absolute,absoluto,absoli,absolut,absolu,مطلق,순수한,абсолютный
absolutely,absolutamente,absoliman,absolut,absolument,قطعاً,전적으로,абсолютно
absorb,absorber,absòbe,absorbieren,absorber,تمتص,흡수하다,поглощать
abuse,abuso,abi,Missbrauch,abus,إساءة,남용,злоупотреблять
academic,académico,akademik,akademisch,académique,أكاديمي,학생,академический
accept,aceptar,aksepte,akzeptieren,accepter,يقبل,수용하다,принимать
access,acceso,aksè,Zugang,accéder,وصول,입장,доступ
accident,accidente,aksidan,Unfall,accident,حادثة,사고,несчастный случай
accompany,acompañar,akonpanye,begleiten,accompagner,مرافقة,동반하다,сопровождать
accomplish,lograr,akonpli,erreichen,accomplir,ينجز,성취하다,выполнить
according,de acuerdo a,dapre,nach,selon,حسب,~에 따라,согласно
account,cuenta,kont,Konto,compte,حساب,계정,счет
accurate,preciso,egzat,genau,précis,دقيق,정확한,точный
accuse,acusar,akize,beschuldigen,accuser,اتهم,고발하다,обвинять
achieve,lograr,reyalize,erreichen,atteindre,يحقق,성취하다,достигать
achievement,logro,reyalizasyon,Leistung,réalisation,إنجاز,성취,достижение
acid,ácido,asid,Säure,acide,حامض,산,кислота
acknowledge,reconocer,rekonèt,anerkennen,reconnaître,يُقرّ,인정하다,сознавать
acquire,adquirir,jwenn,erwerben,acquérir,يكتسب,습득하다,приобретать
across,al otro lado de,atravè,über,à travers,عير,가로질러,через
act,acto,aji,Akt,acte,يمثل,행동,действовать
action,acción,aksyon,Aktion,action,فعل,행동,действие
active,activo,aktif,aktiv,actif,نشيط,활동적인,активный
activist,activista,aktivis,Aktivist,activiste,ناشط,활동가,активист
activity,actividad,aktivite,Aktivität,activité,نشاط,활동,активность
actor,actor,aktè,Schauspieler,acteur,الممثل,배우,актер
actress,Actriz,aktris,Darstellerin,actrice,ممثلة,여배우,актриса
actual,actual,aktyèl,tatsächlich,réel,فِعلي,실제,действительный
actually,de hecho,aktyèlman,Genau genommen,en fait,في الحقيقة,실제로,на самом деле
ad,anuncio,ad,Anzeige,annonce,إعلان,기원 후,объявление
adapt,adaptar,adapte,anpassen,adapter,يتكيف,적응하다,адаптироваться
add,agregar,ajoute,hinzufügen,ajouter,يضيف,추가하다,добавлять
addition,suma,adisyon,Zusatz,ajout,إضافة,덧셈,добавление
additional,adicional,adisyonèl,zusätzlich,supplémentaire,إضافي,추가의,дополнительный
address,Direccion,adrès,Adresse,adresse,عنوان,주소,адрес
adequate,adecuado,adekwat,angemessen,adéquat,مناسب,적절한,адекватный
adjust,ajustar,ajiste,anpassen,ajuster,يُعدِّل,조정하다,регулировать
adjustment,ajustamiento,ajisteman,Einstellung,ajustement,تعديل,조정,корректирование
administration,administración,administrasyon,Verwaltung,administration,إدارة,관리,администрация
administrator,administrador,administratè,Administrator,administrateur,مدير,관리자,администратор
admire,admirar,admire,bewundern,admirer,يُعجَب ب,존경하다,восхищаться
admission,admisión,admisyon,Zulassung,admission,قبول,가입,допуск
admit,admitir,admèt,zugeben,admettre,يعترف,인정하다,признавать
adolescent,adolescente,adolesan,Jugendlicher,adolescent,مراهق,한창 젊은,подросток
adopt,adoptar,adopte,adoptieren,adopter,يتبنى,입양하다,усыновить
adult,adulto,granmoun,Erwachsene,adulte,بالغ,성인,взрослый
advance,avance,avanse,Vorauszahlung,avance,يتقدم,전진,продвигать
advanced,avanzado,avanse,fortschrittlich,avancé,متقدم,고급의,передовой
advantage,ventaja,avantaj,Vorteil,avantage,ميزة,이점,преимущество
adventure,aventura,avanti,Abenteuer,aventure,مفامرة,모험,приключение
advertising,publicidad,piblisite,Werbung,publicité,دعاية,광고하는,реклама
advice,consejo,konsèy,Beratung,conseil,نصيحة,조언,совет
advise,aconsejar,konseye,beraten,conseiller,ينصح,권하다,советовать
adviser,asesor,konseye,Berater,conseiller,مستشار,고문,советник
advocate,defensor,avoka,Fürsprecher,avocat,يدافع عن,지지하다,защитник
affair,amorío,zafè,Affäre,affaire,شأن,일,роман
affect,afectar,afekte,beeinflussen,affecter,يؤثر,영향을 미치다,оказывать воздействие
afford,poder pagar,peye,leisten,permettre,يمنح,여유가 되다,предоставлять
afraid,asustado,pè,besorgt,effrayé,خائف,두려워하는,испуганный
African,africano,Afriken,afrikanisch,africain,الأفريقي,아프리카 사람,Африканский
African-American,Afroamericano,Afriken-Ameriken,Afroamerikaner,Afro-américain,الافارقه الامريكان,아프리카 계 미국인,Афроамериканец
after,después,apre,nach,après,بعد,~ 후에,после
afternoon,tarde,apremidi,Nachmittag,après-midi,بعد الظهر,오후,полдень
again,de nuevo,ankò,wieder,encore,مرة أخرى,다시,снова
against,contra,kont,gegen,contre,ضد,~에 맞서,против
age,edad,laj,Alter,âge,عمر,나이,возраст
agency,agencia,ajans,Agentur,agence,وكالة,대행사,агентство
agenda,agenda,ajanda,Agenda,ordre du jour,جدول أعمال,의제,повестка дня
agent,agente,ajan,Agent,agent,عامل,대리인,агент
aggressive,agresivo,agresif,aggressiv,agressif,عنيف,공격적인,агрессивный
ago,atrás,de sa,vor,il y a,منذ,~ 전에,назад
agree,aceptar,dakò,zustimmen,accepter,يوافق,동의하다,соглашаться
agreement,acuerdo,akò,Vereinbarung,accord,اتفاق,합의,соглашение
agricultural,agrícola,agrikòl,landwirtschaftlich,agricole,الزراعية,농업,сельскохозяйственный
ah,ah,ah,Ah,ah,آه,아,ах
ahead,adelante,devan,voraus,devant,امام,앞으로,предстоящий
aid,ayuda,èd,Hilfe,aide,يساعد,지원,помогать
aide,ayudante,èd,Berater,aide,مساعد,보좌관,помощник
AIDS,SIDA,SIDA,AIDS,sida,الإيدز,보조기구,СПИД
aim,apuntar,vize,Ziel,but,هدف,목표,цель
air,aire,lè,Luft,air,هواء,공기,воздух
aircraft,aeronave,avyon,Flugzeug,avion,الطائرات,항공기,самолет
airline,aerolínea,avyon,Fluggesellschaft,Compagnie aérienne,شركة طيران,공기 호스,авиакомпания
airport,aeropuerto,ayewopò,Flughafen,aéroport,مطار,공항,аэропорт
album,álbum,album,Album,album,الألبوم,앨범,альбом
alcohol,alcohol,alkòl,Alkohol,alcool,الكحول,술,алкоголь
alive,vivo,vivan,lebendig,vivant,على قيد الحياة,살아 있는,живой
all,todo,tout,alle,tous,الجميع,모두,все
alliance,Alianza,alyans,Allianz,Alliance,تحالف,동맹,альянс
allow,permitir,pèmèt,erlauben,permettre,يسمح,허용하다,позволять
ally,aliado,alye,Verbündete,allié,حليف,동맹국,союзник
almost,casi,prèske,fast,presque,بالكاد,거의,почти
alone,solo,pou kont li,allein,seul,وحيد,홀로,один
along,a lo largo de,ansanm,entlang,le long de,على امتداد,~을 따라,вдоль
already,ya,deja,bereits,déjà,بالفعل,이미,уже
also,también,tou,Auch,aussi,أيضًا,또한,также
alter,alterar,chanje,ändern,modifier,تغيير,바꾸다,изменить
alternative,alternativa,altènatif,Alternative,alternative,بديل,대안,альтернатива
although,a pesar de,byenke,Obwohl,bien que,بالرغم من,하지만,хотя
always,siempre,toujou,stets,toujours,دائماً,언제나,всегда
AM,SOY,AM,BIN,SUIS,أكون,오전,ЯВЛЯЮСЬ
amazing,asombroso,etonan,toll,incroyable,مدهش,놀라운,удивительный
American,Americano,Ameriken,amerikanisch,Américain,أمريكي,미국 사람,Американский
among,entre,nan mitan,unter,parmi,ضمن,~ 중에,среди
amount,cantidad,kantite lajan,Menge,montant,كمية,양,количество
analysis,análisis,analiz,Analyse,analyse,تحليل,분석,анализ
analyst,analista,analis,Analytiker,analyste,المحلل,분석자,аналитик
analyze,analizar,analize,analysieren,analyser,تحليل,분석하다,анализировать
ancient,antiguo,ansyen,uralt,ancien,عتيق,고대의,древний
and,y,epi,Und,et,و,그리고,и
anger,enojo,kòlè,Wut,colère,الغضب,화,злость
angle,ángulo,ang,Winkel,angle,زاوية,각도,угол
angry,enojado,fache,wütend,en colère,غاضب,화난,злой
animal,animal,bèt,Tier,animal,حيوان,동물,животное
anniversary,aniversario,anivèsè,Jubiläum,anniversaire,عيد,기념일,годовщина
announce,anunciar,anonse,bekannt geben,annoncer,أعلن,발표하다,объявить
annual,anual,anyèl,jährlich,annuel,سنوي,연간,ежегодный
another,otro,yon lòt,ein anderer,un autre,آخر,또 다른,другой
answer,respuesta,reponn,Antwort,répondre,إجابة,답변,отвечать
anticipate,anticipar,antisipe,antizipieren,anticiper,يتوقع,예상하다,предвидеть
anxiety,ansiedad,enkyetid,Angst,anxiété,قلق,불안,беспокойство
any,cualquier,nenpòt,beliebig,n'importe lequel,أي,어느,любой
anybody,cualquiera,okenn moun,irgendjemand,n'importe qui,اي شخص,아무도,кто-нибудь
anymore,ya no,ankò,mehr,plus,أي أكثر من ذلك,더 이상,больше
anyone,alguien,nenpòt moun,irgendjemand,n'importe qui,أي واحد,누구나,любой
anything,cualquier cosa,anyen,irgendetwas,rien,أي شئ,아무것,что-либо
anyway,de todos modos,de tout fason,Trotzdem,de toute façon,على أي حال,그래도,в любом случае
anywhere,en cualquier lugar,nenpòt kote,überall,n'importe où,في أى مكان,어딘가에,в любом месте
apart,aparte,apa,auseinander,à part,منفصل,따로,отдельно
apartment,departamento,apatman,Wohnung,appartement,شقة,아파트,квартира
apparent,aparente,aparan,ersichtlich,apparent,واضح,명백한,очевидный
apparently,aparentemente,aparamman,scheinbar,apparemment,فيما يبدو,보기에,видимо
appeal,apelar,apèl,appellieren,appel,جاذبية,항소,обращаться
appear,aparecer,parèt,erscheinen,apparaître,يظهر,나타나다,появляться
appearance,apariencia,aparans,Aussehen,apparence,مظهر,모습,появление
apple,manzana,pòm,Apfel,pomme,تفاحة,사과,яблоко
application,solicitud,aplikasyon,Anwendung,application,طلب,애플리케이션,приложение
apply,aplicar,aplike,anwenden,appliquer,يتقدم,적용하다,применять
appoint,nombrar,nonmen,ernennen,nommer,تعيين,정하다,назначать
appointment,cita,randevou,Termin,rendez-vous,ميعاد,약속,встреча
appreciate,agradecer,apresye,anerkennen,apprécier,يُقَدِّر,고마워하다,ценить
approach,acercarse,apwòch,Ansatz,approche,يقترب,접근하다,подход
appropriate,adecuado,apwopriye,geeignet,approprié,ملائم,적절한,соответствующий
approval,aprobación,apwouve,Genehmigung,approbation,موافقة,승인,одобрение
approve,aprobar,apwouve,genehmigen,approuver,يعتمد,승인하다,утвердить
approximately,aproximadamente,apeprè,etwa,environ,تقريبًا,약,примерно
Arab,árabe,Arab,Araber,arabe,عرب,아라비아 사람,араб
architect,arquitecto,achitèk,Architekt,architecte,مهندس معماري,건축가,архитектор
area,área,zòn,Bereich,zone,منطقة,영역,область
argue,argumentar,diskite,argumentieren,argumenter,يجادل,다투다,спорить
argument,argumento,agiman,Streit,argument,دعوى,논쟁,аргумент
arise,surgir,leve,entstehen,surgir,تنشأ,생기다,возникать
arm,brazo,bra,Arm,bras,ذراع,팔,рука
armed,armado,ame,bewaffnet,armé,مسلح,무장한,вооруженный
army,ejército,lame,Armee,armée,جيش,군대,армия
around,alrededor,alantou,um,autour,حول,약,вокруг
arrange,arreglar,ranje,arrangieren,organiser,يرتب,마련하다,договариваться
arrangement,acuerdo,aranjman,Anordnung,arrangement,ترتيب,준비,договоренность
arrest,arrestar,arete,Festnahme,arrêter,يقبض على,체포,арестовать
arrival,llegada,arive,Ankunft,arrivée,وصول,도착,прибытие
arrive,llegar,rive,ankommen,arriver,يصل,도착하다,приезжать
art,arte,atizay,Kunst,art,فن,미술,искусство
article,artículo,atik,Artikel,article,شرط,기사,статья
artist,artista,atis,Künstler,artiste,فنان,아티스트,художник
artistic,artístico,atistik,künstlerisch,artistique,فني,예술적,художественный
as,como,kòm,als,comme,مثل,~처럼,как
Asian,asiático,Azyatik,asiatisch,asiatique,الآسيوية,아시아 사람,Азиатский
aside,aparte,sou kote,beiseite,de côté,جانبا,곁에,в стороне
ask,preguntar,mande,fragen,demander,بسأل,묻다,просить
asleep,dormido,dòmi,schlafend,endormi,نائما,죽어,спящий
aspect,aspecto,aspè,Aspekt,aspect,وجه,측면,аспект
assault,agresión,atak,Angriff,agression,يتعدى,폭행,атаковать
assert,afirmar,afime,behaupten,affirmer,يجزم,주장하다,утверждать
assess,evaluar,evalye,bewerten,évaluer,يٌقيِّم,평가하다,оценивать
assessment,evaluación,evalyasyon,Bewertung,évaluation,تقدير,평가,оценка
asset,activo,avantaj,Vermögenswert,actif,أصل,유산,объект
assign,asignar,plase,zuordnen,attribuer,تعيين,양수인,назначать
assignment,asignación,devwa,Abtretung,affectation,تكليف,과제,назначение
assist,asistir,ede,helfen,assister,يساعد,돕다,помогать
assistance,asistencia,asistans,Hilfe,assistance,مساعدة,보조,помощь
assistant,asistente,asistan,Assistent,assistant,مساعد,어시스턴트,помощник
associate,asociado,asosye,assoziieren,associé,شريك,연관짓다,партнер
association,asociación,asosyasyon,Verband,association,منظمة,협회,ассоциация
assume,asumir,asime,annehmen,supposer,يفترض,추정하다,предполагать
assumption,suposición,sipozisyon,Annahme,hypothèse,افتراض,추정,предположение
assure,asegurar,asire,versichern,assurer,أؤكد,확신하다,гарантировать
at,en,nan,bei,à,في,~에,в
athlete,atleta,atlèt,Athlet,athlète,رياضي,운동 선수,спортсмен
athletic,atlético,atletik,sportlich,athlétique,رياضي,운동의,Спортивное
atmosphere,atmósfera,atmosfè,Atmosphäre,atmosphère,أَجواء,대기,атмосфера
attach,adjuntar,tache,anfügen,attacher,يربط,붙이다,прикреплять
attack,ataque,atak,Attacke,attaque,هجوم,공격,атака
attempt,intentar,tantativ,versuchen,tentative,محاولة,시도,пытаться
attend,asistir,patisipe,teilnehmen,assister à,يحضر,참석하다,посещать
attention,atención,atansyon,Aufmerksamkeit,attention,انتباه,주목,внимание
attitude,actitud,atitid,Attitüde,attitude,سلوك,태도,отношение
